StoreId,Name,Address,DateOpened
1,Blossom Bazaar,"PSC 7602, Box 0671
APO AA 91313",2021-12-22
2,Petal Palace,"6488 Cowan Ramp
Lake Amanda, NE 57036",2021-01-15
3,Floral Fantasy,"USNS Aguilar
FPO AP 64210",2022-02-27
4,Daisy Delights,"474 Michelle Lane
Wrightborough, ID 25025",2019-05-30
5,Lavender Lane,"09609 Scott Knolls
Briannafort, KY 92840",2017-09-10
6,Sunflower Sensations,"05082 Jones Divide
New Vanessa, GA 79710",2021-11-21
7,Rose Retreat,"8729 Newman Groves
Seanton, MD 44049",2017-09-19
8,Orchid Oasis,"49187 Phillip Flat
Vincentton, KS 63511",2014-06-24
9,Tulip Treasures,"300 Garcia Isle
South Tracymouth, NE 54790",2020-07-10
10,Violet Visions,"578 Myers Station Suite 698
North Erictown, VA 81868",2014-11-19
11,Peony Paradise,"427 Moore Flats Apt. 366
New Stephanieside, KY 81222",2023-01-13
12,Carnation Corner,"696 Wagner Wells
North Tamarafurt, SC 85008",2022-07-24
13,Lily Luxury,"2516 Michael Mission
Port Thomasport, PA 66481",2020-09-12
14,Chrysanthemum Charm,"6518 Bell Divide
Michaelstad, CA 99149",2020-03-26
15,Gardenia Grove,"593 Bradley Union Suite 302
Smithfort, CA 47709",2017-10-30
16,Bloom Boutique,"05315 Cordova Road
Kentshire, ID 32542",2017-01-17
17,Aster Attic,"650 Small Alley Suite 211
Edwardfort, MS 23103",2014-10-31
18,Fern Forest,"6616 Mcdonald Stream Apt. 073
South Allenport, WA 67208",2019-10-23
19,Jasmine Jamboree,"43824 Simpson Manors Suite 381
East Dylan, MS 03620",2022-05-13
20,Magnolia Manor,"6029 Lopez Key Suite 691
New Jonathon, OK 51500",2018-04-05
21,Nectar Nook,"375 Campbell Rue
Scotthaven, DC 00723",2020-11-10
22,Poppy Pod,"8455 Perry Vista Apt. 903
South Charlotte, CO 73021",2014-09-28
23,Quince Quarters,"193 Thomas Wall Suite 408
Susanborough, LA 24377",2020-09-27
24,Snapdragon Spot,"3264 Logan Row
New Sarafurt, OK 74521",2022-01-15
25,Thistle Thicket,"50957 Michelle Knolls Suite 439
New Sueport, NC 16372",2022-05-24
